Hello from process 1 of 3Hello from process 
2 of 3
Hello from process 0 of 3
(0.0550848,0.855651)
(0.77758,0.880116)
(0.0824405,0.362367)
(0.783325,0.366817)
(0.157645,0.113231)
(0.540969,0.505325)
(0.575371,0.808754)
(0.437074,0.818477)
(0.143633,0.0620159)
(0.754737,0.698677)
  (0.553941,0.382732)   (0.396248,0.017163)  (0.0481268,0.643609)  (0.525673,0.0441083)   (0.153039,0.927212)    (0.50001,0.233953)    (0.256087,0.12309)   (0.543093,0.748451)
  (0.654005,0.514839)   (0.796809,0.132454)   (0.979466,0.334578)   (0.979736,0.546208)   (0.649041,0.386298)   (0.351149,0.502332)   (0.624926,0.361269)    (0.87363,0.774538)
    (0.24384,0.26887)   (0.368643,0.471733)   (0.183365,0.528825)   (0.670932,0.340828)   (0.820411,0.120136)   (0.690795,0.708094)  (0.0139403,0.548338)   (0.516667,0.277121)
   (0.56677,0.201826)   (0.861595,0.846415)   (0.170569,0.114144)     (0.587391,0.3471)    (0.353918,0.19718) (0.00151545,0.932062)   (0.304077,0.232722)  (0.797001,0.0574217)
  (0.156058,0.896989)   (0.330205,0.793246)   (0.126145,0.424116)   (0.730096,0.836651)   (0.835898,0.996117)   (0.994543,0.441368)   (0.261508,0.684187)  (0.385125,0.0833756)
   (0.744336,0.41882)    (0.86204,0.125922)   (0.757969,0.423485)   (0.632677,0.708576)   (0.864366,0.821405)   (0.564035,0.689147)   rank: 1 ...verification passed
rank: 2 ...verification passed
(0.102946,0.111513)   (0.174548,0.307328)
  (0.415863,0.187497)   (0.755646,0.438514)    (0.71571,0.208454)   (0.712567,0.667188)   (0.847699,0.143849)   (0.180135,0.643582)   (0.113251,0.535236)   (0.616022,0.985498)
  (0.663773,0.551626)   (0.903295,0.773129)     (0.3743,0.739797)    (0.960781,0.16697)   (0.225885,0.506181)  (0.0891295,0.601133)   (0.613254,0.610918)   (0.561943,0.228254)
  (0.553941,0.382732)   (0.396248,0.017163)  (0.0481268,0.643609)  (0.525673,0.0441083)   (0.153039,0.927212)    (0.50001,0.233953)    (0.256087,0.12309)   (0.543093,0.748451)
  (0.654005,0.514839)   (0.796809,0.132454)   (0.979466,0.334578)   (0.979736,0.546208)   (0.649041,0.386298)   (0.351149,0.502332)   (0.624926,0.361269)    (0.87363,0.774538)
    (0.24384,0.26887)   (0.368643,0.471733)   (0.183365,0.528825)   (0.670932,0.340828)   (0.820411,0.120136)   (0.690795,0.708094)  (0.0139403,0.548338)   (0.516667,0.277121)
   (0.56677,0.201826)   (0.861595,0.846415)   (0.170569,0.114144)     (0.587391,0.3471)    (0.353918,0.19718) (0.00151545,0.932062)   (0.304077,0.232722)  (0.797001,0.0574217)
  (0.156058,0.896989)   (0.330205,0.793246)   (0.126145,0.424116)   (0.730096,0.836651)   (0.835898,0.996117)   (0.994543,0.441368)   (0.261508,0.684187)  (0.385125,0.0833756)
   (0.744336,0.41882)    (0.86204,0.125922)   (0.757969,0.423485)   (0.632677,0.708576)   (0.864366,0.821405)   (0.564035,0.689147)   (0.102946,0.111513)   (0.174548,0.307328)
  (0.415863,0.187497)   (0.755646,0.438514)    (0.71571,0.208454)   (0.712567,0.667188)   (0.847699,0.143849)   (0.180135,0.643582)   (0.113251,0.535236)   (0.616022,0.985498)
  (0.663773,0.551626)   (0.903295,0.773129)     (0.3743,0.739797)    (0.960781,0.16697)   (0.225885,0.506181)  (0.0891295,0.601133)   (0.613254,0.610918)   (0.561943,0.228254)
rank: 0 ...verification passed
Run: 0 ..starting ..took: 0.00377706 s
Run: 1 ..starting ..took: 0.00362912 s
Run: 2 ..starting ..took: 0.00340786 s
